Major,"Median annual wages, 25-59, 2013$"
Architecture and Engineering,83000
Arts,49000
All Bachelor's Degrees,61000
Biology,56000
Business,65000
Communications and Journalism,54000
"Computer Science, Statistics, And Math",76000
Humanities,52000
Physical Sciences,65000
Health,65000
Law And Public Policy,54000
